product_id,product_name,category_id,launch_date,price
IP001,iPhone SE (2nd Gen) 64GB,CAT001,2020-04-24,399
IP002,iPhone SE (2nd Gen) 128GB,CAT001,2020-04-24,449
IP003,iPhone 12 64GB,CAT001,2020-10-23,799
IP004,iPhone 12 128GB,CAT001,2020-10-23,849
IP005,iPhone 12 256GB,CAT001,2020-10-23,949
IP006,iPhone 12 Mini 64GB,CAT001,2020-11-13,699
IP007,iPhone 12 Mini 128GB,CAT001,2020-11-13,749
IP008,iPhone 12 Mini 256GB,CAT001,2020-11-13,849
IP009,iPhone 12 Pro 128GB,CAT001,2020-10-23,999
IP010,iPhone 12 Pro 256GB,CAT001,2020-10-23,1099
IP011,iPhone 12 Pro 512GB,CAT001,2020-10-23,1299
IP012,iPhone 12 Pro Max 128GB,CAT001,2020-11-13,1099
IP013,iPhone 12 Pro Max 256GB,CAT001,2020-11-13,1199
IP014,iPhone 12 Pro Max 512GB,CAT001,2020-11-13,1399
IP015,iPhone 13 128GB,CAT001,2021-09-24,799
IP016,iPhone 13 256GB,CAT001,2021-09-24,899
IP017,iPhone 13 512GB,CAT001,2021-09-24,1099
IP018,iPhone 13 Mini 128GB,CAT001,2021-09-24,699
IP019,iPhone 13 Mini 256GB,CAT001,2021-09-24,799
IP020,iPhone 13 Mini 512GB,CAT001,2021-09-24,999
IP021,iPhone 13 Pro 128GB,CAT001,2021-09-24,999
IP022,iPhone 13 Pro 256GB,CAT001,2021-09-24,1099
IP023,iPhone 13 Pro 512GB,CAT001,2021-09-24,1299
IP024,iPhone 13 Pro 1024GB,CAT001,2021-09-24,1499
IP025,iPhone 13 Pro Max 128GB,CAT001,2021-09-24,1099
IP026,iPhone 13 Pro Max 256GB,CAT001,2021-09-24,1199
IP027,iPhone 13 Pro Max 512GB,CAT001,2021-09-24,1399
IP028,iPhone 13 Pro Max 1024GB,CAT001,2021-09-24,1599
IP029,iPhone SE (3rd Gen) 64GB,CAT001,2022-03-18,429
IP030,iPhone SE (3rd Gen) 128GB,CAT001,2022-03-18,479
IP031,iPhone SE (3rd Gen) 256GB,CAT001,2022-03-18,579
IP032,iPhone 14 128GB,CAT001,2022-09-16,799
IP033,iPhone 14 256GB,CAT001,2022-09-16,899
IP034,iPhone 14 512GB,CAT001,2022-09-16,1099
IP035,iPhone 14 Plus 128GB,CAT001,2022-10-07,899
IP036,iPhone 14 Plus 256GB,CAT001,2022-10-07,999
IP037,iPhone 14 Plus 512GB,CAT001,2022-10-07,1199
IP038,iPhone 14 Pro 128GB,CAT001,2022-09-16,999
IP039,iPhone 14 Pro 256GB,CAT001,2022-09-16,1099
IP040,iPhone 14 Pro 512GB,CAT001,2022-09-16,1299
IP041,iPhone 14 Pro 1024GB,CAT001,2022-09-16,1499
IP042,iPhone 14 Pro Max 128GB,CAT001,2022-09-16,1099
IP043,iPhone 14 Pro Max 256GB,CAT001,2022-09-16,1199
IP044,iPhone 14 Pro Max 512GB,CAT001,2022-09-16,1399
IP045,iPhone 14 Pro Max 1024GB,CAT001,2022-09-16,1599
IP046,iPhone 15 128GB,CAT001,2023-09-22,799
IP047,iPhone 15 256GB,CAT001,2023-09-22,899
IP048,iPhone 15 512GB,CAT001,2023-09-22,1099
IP049,iPhone 15 Plus 128GB,CAT001,2023-09-22,899
IP050,iPhone 15 Plus 256GB,CAT001,2023-09-22,999
IP051,iPhone 15 Plus 512GB,CAT001,2023-09-22,1199
IP052,iPhone 15 Pro 128GB,CAT001,2023-09-22,999
IP053,iPhone 15 Pro 256GB,CAT001,2023-09-22,1099
IP054,iPhone 15 Pro 512GB,CAT001,2023-09-22,1299
IP055,iPhone 15 Pro 1024GB,CAT001,2023-09-22,1499
IP056,iPhone 15 Pro Max 256GB,CAT001,2023-09-22,1199
IP057,iPhone 15 Pro Max 512GB,CAT001,2023-09-22,1399
IP058,iPhone 15 Pro Max 1024GB,CAT001,2023-09-22,1599
IP059,iPhone 16 128GB,CAT001,2024-09-20,799
IP060,iPhone 16 256GB,CAT001,2024-09-20,899
IP061,iPhone 16 512GB,CAT001,2024-09-20,1099
IP062,iPhone 16 Plus 128GB,CAT001,2024-09-20,899
IP063,iPhone 16 Plus 256GB,CAT001,2024-09-20,999
