claim_id,claim_date,sale_id,repair_status
CLM000001,2024-03-13,SALE000001,Completed
CLM000002,2020-05-19,SALE000009,Completed
CLM000003,2025-07-21,SALE000020,Completed
CLM000004,2025-01-20,SALE000022,Completed
CLM000005,2021-10-02,SALE000026,Paid Repaired
CLM000006,2025-03-25,SALE000034,Paid Repaired
CLM000007,2025-06-23,SALE000035,Replaced
CLM000008,2025-11-01,SALE000042,Completed
CLM000009,2021-12-23,SALE000046,Warranty Void
CLM000010,2024-06-30,SALE000051,Completed
CLM000011,2025-03-30,SALE000058,Completed
CLM000012,2023-12-04,SALE000059,Warranty Void
CLM000013,2021-07-30,SALE000068,Paid Repaired
CLM000014,2021-05-15,SALE000077,Completed
CLM000015,2024-01-15,SALE000081,Completed
CLM000016,2021-09-22,SALE000083,Completed
CLM000017,2020-10-31,SALE000088,Completed
CLM000018,2021-03-18,SALE000100,Completed
CLM000019,2024-09-26,SALE000106,Replaced
CLM000020,2024-07-26,SALE000108,Pending
CLM000021,2021-11-07,SALE000120,Completed
CLM000022,2023-07-07,SALE000143,Completed
CLM000023,2025-01-21,SALE000162,Pending
CLM000024,2020-09-07,SALE000169,Paid Repaired
CLM000025,2022-06-25,SALE000175,Paid Repaired
CLM000026,2021-06-05,SALE000177,Warranty Void
CLM000027,2022-08-29,SALE000180,Completed
CLM000028,2023-03-03,SALE000187,Completed
CLM000029,2022-08-06,SALE000191,Pending
CLM000030,2022-04-09,SALE000208,Completed
CLM000031,2022-09-07,SALE000218,Replaced
CLM000032,2023-05-31,SALE000225,Completed
CLM000033,2023-12-03,SALE000227,Completed
CLM000034,2024-11-07,SALE000237,Paid Repaired
CLM000035,2023-03-23,SALE000249,Completed
CLM000036,2025-04-21,SALE000251,Completed
CLM000037,2024-01-08,SALE000252,Paid Repaired
CLM000038,2021-08-30,SALE000258,Completed
CLM000039,2024-03-28,SALE000272,Completed
CLM000040,2022-06-26,SALE000275,Completed
CLM000041,2022-07-17,SALE000281,Completed
CLM000042,2022-03-19,SALE000301,Warranty Void
CLM000043,2022-08-02,SALE000303,Replaced
CLM000044,2022-03-20,SALE000317,Completed
CLM000045,2025-11-01,SALE000318,Completed
CLM000046,2020-10-28,SALE000322,Completed
CLM000047,2025-02-08,SALE000324,Pending
CLM000048,2022-03-23,SALE000325,Pending
CLM000049,2021-12-26,SALE000327,Completed
CLM000050,2020-09-05,SALE000336,Completed
CLM000051,2022-07-02,SALE000345,Replaced
CLM000052,2024-11-24,SALE000357,Completed
CLM000053,2023-02-11,SALE000358,Paid Repaired
CLM000054,2025-10-13,SALE000366,Pending
CLM000055,2023-10-18,SALE000370,Paid Repaired
CLM000056,2025-08-06,SALE000373,Completed
CLM000057,2020-11-26,SALE000375,Completed
CLM000058,2021-10-06,SALE000378,Paid Repaired
CLM000059,2023-06-02,SALE000379,Completed
CLM000060,2023-07-16,SALE000388,Completed
CLM000061,2021-06-05,SALE000396,Completed
CLM000062,2023-05-28,SALE000403,Completed
CLM000063,2021-09-05,SALE000413,Replaced
CLM000064,2020-04-16,SALE000414,Paid Repaired
CLM000065,2021-05-12,SALE000427,Replaced
CLM000066,2023-07-18,SALE000430,Replaced
CLM000067,2023-05-23,SALE000434,Completed
CLM000068,2023-08-05,SALE000435,Completed
CLM000069,2025-10-16,SALE000443,Completed
CLM000070,2025-12-31,SALE000446,Replaced
CLM000071,2025-01-24,SALE000448,Completed
CLM000072,2021-11-27,SALE000449,Completed
CLM000073,2025-10-23,SALE000450,Paid Repaired
CLM000074,2021-12-20,SALE000452,Pending
CLM000075,2024-03-26,SALE000454,Paid Repaired
CLM000076,2020-10-07,SALE000467,Replaced
